AreaID|ManagedAreaName|ParameterName|SizeClass|ShellType|HabitatType|ProgramNames|Intercept|Slope|StandardError|LowerConfidence|UpperConfidence
19|Guana River Marsh Aquatic Preserve|Size class|25-75mm|Live Oysters|Natural|c(4000, 5017)|-17.6109819169565|1.26815673767616|1.60230910937906|-1.80909775|4.48082674999999
20|Guana Tolomato Matanzas National Estuarine Research Reserve|Density|NA|Live Oysters|Natural|c(5017, 4000)|-4.51191530493253|0.108132359315592|0.0646153501364363|-0.014975965|0.240315175
20|Guana Tolomato Matanzas National Estuarine Research Reserve|Percent live|NA|Live Oysters|Natural|c(4000, 5017)|-15.9588396551724|0.135178407121439|0.0172058460631574|0.10027865|0.17107885
20|Guana Tolomato Matanzas National Estuarine Research Reserve|Size class|>75mm|Live Oysters|Natural|c(4000, 5017)|-309.533974041229|2.69328709333733|1.46269957301152|-0.00925512499999869|5.72592725
20|Guana Tolomato Matanzas National Estuarine Research Reserve|Size class|25-75mm|Live Oysters|Natural|c(4000, 5017)|-252.2885036994|2.27772494244753|1.06868361590264|0.218966700000001|4.43465825
21|Indian River-Malabar to Vero Beach Aquatic Preserve||||||||||
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Size class|>75mm|Dead Shells|Natural|c(4016, 5035)|88.0613778804348|-1.05610147441192|0.493651724511453|-2.21228125|-0.33366275
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Size class|25-75mm|Dead Shells|Natural|c(4016, 5035)|33.6066224275862|53.8867735014993|61.9343272513756|-13.222285|145.504375
23|Jensen Beach to Jupiter Inlet Aquatic Preserve||||||||||
24|Lake Jackson Aquatic Preserve||||||||||
25|Lemon Bay Aquatic Preserve|Density|NA|Live Oysters|Natural|972|8.34197148425787|-0.0316628593072714|0.0109996236085541|-0.0526955125|-0.00950528825000001
25|Lemon Bay Aquatic Preserve|Percent live|NA|Live Oysters|Natural|c(972, 5035)|-0.271630814252999|0.00884665278035232|0.0130936942134157|-0.0162955675|0.034215915
25|Lemon Bay Aquatic Preserve|Size class|>75mm|Dead Shells|Natural|5035|64.904035148051|0.0498568762341848|0.261229403510678|-0.458072125|0.5789785
25|Lemon Bay Aquatic Preserve|Size class|25-75mm|Dead Shells|Natural|5035|12.4953426199175|0.0121012845|0.669339991485672|-1.69510575|0.8260949
26|Lignumvitae Key Aquatic Preserve||||||||||
27|Loxahatchee River-Lake Worth Creek Aquatic Preserve||||||||||
28|Matlacha Pass Aquatic Preserve||||||||||
29|Mosquito Lagoon Aquatic Preserve||||||||||
30|Nassau River-St. Johns River Marshes Aquatic Preserve||||||||||
48|Nature Coast Aquatic Preserve||||||||||
31|North Fork St. Lucie Aquatic Preserve||||||||||
32|Oklawaha River Aquatic Preserve||||||||||
33|Pellicer Creek Aquatic Preserve||||||||||
34|Pine Island Sound Aquatic Preserve|Density|NA|Live Oysters|Natural|4012|6.45666559595202|-0.674060037518741|1.08665832704577|-2.850187|1.59281475
34|Pine Island Sound Aquatic Preserve|Density|NA|Live Oysters|Restored|4012|3.63352841791604|0.147218104701559|0.135402528597493|0.00385780075|0.500686625
35|Pinellas County Aquatic Preserve||||||||||
36|Rainbow Springs Aquatic Preserve||||||||||
37|Rocky Bayou State Park Aquatic Preserve||||||||||
38|Rookery Bay Aquatic Preserve||||||||||
39|Rookery Bay National Estuarine Research Reserve||||||||||
12|Southeast Florida Coral Reef Ecosystem Conservation Area||||||||||
40|St. Andrews State Park Aquatic Preserve||||||||||
41|St. Joseph Bay Aquatic Preserve||||||||||
42|St. Joseph Bay State Buffer Preserve||||||||||
43|St. Martins Marsh Aquatic Preserve|Size class|>75mm|Dead Shells|Natural|5072|39.6158611605697|-0.0217605323614026|0.0126642677995387|-0.0494932025|0.000806995774999983
43|St. Martins Marsh Aquatic Preserve|Size class|35-75mm|Dead Shells|Natural|5072|69.8660818215892|0.00260819919385465|0.0030246838714188|-0.003339181|0.008645585
44|Terra Ceia Aquatic Preserve||||||||||
45|Tomoka Marsh Aquatic Preserve||||||||||
46|Wekiva River Aquatic Preserve||||||||||
47|Yellow River Marsh Aquatic Preserve||||||||||
