AreaID|ManagedAreaName|ParameterName|ShellType|SizeClass|HabitatType|N_Years|SufficientData|EarliestLiveDate|LatestLiveDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs|Intercept|ModelEstimate|StandardError|LowerConfidence|UpperConfidence
3|Apalachicola National Estuarine Research Reserve|Shell Height|Dead Oyster Shells|>75mm|Natural|12|TRUE|1581|2011|2018-10-03T22:39:30Z|67|75.34|108.49|82.41|84.5368656716418|8.42135204882015|Historical Oyster Body Size (HOBS) Study|5035|80.1340143928036|-46.7141810686228|229.58482749355|-460.114125|19.899527499999
3|Apalachicola National Estuarine Research Reserve|Shell Height|Dead Oyster Shells|25-75mm|Natural|18|TRUE|1581|2011|2018-10-03T22:39:30Z|2620|25|74.68|36.905|39.6286297709924|11.5422355644589|Historical Oyster Body Size (HOBS) Study|5035|||||
3|Apalachicola National Estuarine Research Reserve|Shell Height|Dead Oyster Shells||Natural|18|TRUE|||2018-10-03T22:39:30Z|1196|4.47|86.12|22.44|24.743127090301|10.8379691432649|Historical Oyster Body Size (HOBS) Study|5035|||||
3|Apalachicola National Estuarine Research Reserve|Shell Height|Live Oyster Shells|>75mm|Natural|4|FALSE|2013|2017|2017-08-29T00:00:00Z|36|75|133|84|86.2111111111111|10.8976479186442|Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery, Oyster shell heights and taxonomic diversity in 2015-2017 among previously documented oiled and non-oiled reefs in Louisiana, Alabama, and the Florida panhandle|5063, 5071, 5073|440.718001465517|-7.54751346112444|7.71198847411048|-23.651885|7.7847685
3|Apalachicola National Estuarine Research Reserve|Shell Height|Live Oyster Shells|25-75mm|Natural|5|TRUE|2013|2019|2019-12-17T00:00:00Z|723|25|74|38|39.5919778699862|11.2916090160462|Apalachicola Bay Intertidal Oyster Sampling, Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery, Oyster shell heights and taxonomic diversity in 2015-2017 among previously documented oiled and non-oiled reefs in Louisiana, Alabama, and the Florida panhandle|5063, 5071, 5073, 5075|129.516528577642|-2.19925193374063|3.87058904319508|-10.057145|5.59800849999999
3|Apalachicola National Estuarine Research Reserve|Shell Height|Live Oyster Shells||Natural|5|TRUE|2013|2019|2019-12-17T00:00:00Z|1383|2|24.1|14|14.1592190889371|5.23381662245569|Apalachicola Bay Intertidal Oyster Sampling, Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery, Oyster shell heights and taxonomic diversity in 2015-2017 among previously documented oiled and non-oiled reefs in Louisiana, Alabama, and the Florida panhandle|5063, 5071, 5073, 5075|||||
5|Big Bend Seagrasses Aquatic Preserve|Shell Height|Dead Oyster Shells|>75mm|Natural|9|TRUE|1959|2011|2018-10-05T20:54:58Z|159|75.1|138.49|85.02|88.6747169811321|12.7039449076601|Historical Oyster Body Size (HOBS) Study|5035|||||
5|Big Bend Seagrasses Aquatic Preserve|Shell Height|Dead Oyster Shells|25-75mm|Natural|9|TRUE|1959|2011|2018-10-05T20:54:58Z|2012|25|74.84|35.845|39.5530715705765|12.3784675499425|Historical Oyster Body Size (HOBS) Study|5035|||||
5|Big Bend Seagrasses Aquatic Preserve|Shell Height|Dead Oyster Shells||Natural|9|TRUE|1959|2011|2018-10-05T20:54:58Z|1006|7.7|24.99|21.27|20.5236083499006|3.45848389434628|Historical Oyster Body Size (HOBS) Study|5035|||||
8|Boca Ciega Bay Aquatic Preserve|Density|Live Oyster Shells||Natural|2|FALSE|2017|2018|2018-12-31T00:00:00Z|30|0|2432|664|748.8|510.020310616528|Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data|4020|||||
8|Boca Ciega Bay Aquatic Preserve|Percent Live|Live Oyster Shells||Natural|2|FALSE|2017|2018|2018-12-31T00:00:00Z|30|0|49|20.45455|22.7888893333333|14.0485665976024|Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data|4020|||||
8|Boca Ciega Bay Aquatic Preserve|Shell Height|Live Oyster Shells|>75mm|Natural|2|FALSE|2017|2018|2018-12-31T00:00:00Z|9|75|85|80|80.3333333333333|3|Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data|4020|||||
8|Boca Ciega Bay Aquatic Preserve|Shell Height|Live Oyster Shells|25-75mm|Natural|2|FALSE|2017|2018|2018-12-31T00:00:00Z|701|25|74|39|39.981455064194|11.0606612380373|Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data|4020|||||
8|Boca Ciega Bay Aquatic Preserve|Shell Height|Live Oyster Shells||Natural|2|FALSE|2017|2018|2018-12-31T00:00:00Z|388|4|24|17|15.8711340206186|5.41448833981495|Oyster Integrated Mapping and Monitoring Program (OIMMP) Pilot Monitoring Data|4020|||||
14|Estero Bay Aquatic Preserve|Density|Live Oyster Shells||Natural|9|TRUE|2014|2022|2022-02-01T00:00:00Z|253|0|6768|600|743.926218708827|861.397631698783|Estero Bay Oyster Monitoring|4042|6.67450697312594|-0.00049523450149925|0.0433405617605642|-0.08272471|0.0850912175
14|Estero Bay Aquatic Preserve|Density|Live Oyster Shells||Restored|1|FALSE|2020|2020|2020-03-04T00:00:00Z|30|0|1920|176|413.733333333333|517.236885191204|SCCF Oyster Restoration Monitoring|4012|||||
14|Estero Bay Aquatic Preserve|Percent Live|Live Oyster Shells||Natural|7|TRUE|2016|2022|2022-02-01T00:00:00Z|48|2|73|25|29.015625|18.0350136886557|Estero Bay Oyster Monitoring|4042|||||
14|Estero Bay Aquatic Preserve|Percent Live|Live Oyster Shells||Restored|1|FALSE|2020|2020|2020-03-04T00:00:00Z|30|0|92.1875|63.49385|57.7237633333333|22.3036420489861|SCCF Oyster Restoration Monitoring|4012|||||
14|Estero Bay Aquatic Preserve|Shell Height|Dead Oyster Shells|>75mm|Natural|23|TRUE|1970|2013|2018-10-30T18:58:41Z|332|75.01|136.42|82.875|85.6267469879518|9.88421389135175|Historical Oyster Body Size (HOBS) Study|5035|63.4142360163044|-1.71429161878186|1.27313892440528|-5.14023325|-0.187986075
14|Estero Bay Aquatic Preserve|Shell Height|Dead Oyster Shells|25-75mm|Natural|24|TRUE|1970|2013|2018-10-30T18:58:41Z|6086|25|74.98|38.3|41.5073923759448|12.9453993294535|Historical Oyster Body Size (HOBS) Study|5035|-89.4949306570465|-0.862144584095202|4.80977241525835|-5.54202425|2.21791575
14|Estero Bay Aquatic Preserve|Shell Height|Dead Oyster Shells||Natural|24|TRUE|1970|2013|2018-10-30T18:58:41Z|2462|8.79|24.99|21.47|20.8336433793664|3.18407842109217|Historical Oyster Body Size (HOBS) Study|5035|||||
14|Estero Bay Aquatic Preserve|Shell Height|Live Oyster Shells|>75mm|Natural|8|TRUE|2014|2022|2022-02-01T00:00:00Z|66|75|109|81.75|83.8018181818182|8.23681079228921|Estero Bay Oyster Monitoring|4042|73.5855110367316|0.204846301163793|0.516966016027127|-0.84224475|1.1624785
14|Estero Bay Aquatic Preserve|Shell Height|Live Oyster Shells|>75mm|Restored|1|FALSE|2020|2020|2020-03-04T00:00:00Z|47|75.14|106.61|80.4|83.3931914893617|7.49495543577637|SCCF Oyster Restoration Monitoring|4012|||||
14|Estero Bay Aquatic Preserve|Shell Height|Live Oyster Shells|25-75mm|Natural|9|TRUE|2014|2022|2022-02-01T00:00:00Z|2841|25|74.82|39.63|41.5363393171419|11.3851059105606|Estero Bay Oyster Monitoring|4042|28.3654252357571|0.263750971241005|0.219071640092606|-0.1709745|0.69454535
14|Estero Bay Aquatic Preserve|Shell Height|Live Oyster Shells|25-75mm|Restored|1|FALSE|2020|2020|2020-03-04T00:00:00Z|824|25.04|74.91|40.34|42.592572815534|12.782864609995|SCCF Oyster Restoration Monitoring|4012|||||
14|Estero Bay Aquatic Preserve|Shell Height|Live Oyster Shells||Natural|9|TRUE|2014|2022|2022-02-01T00:00:00Z|1954|0|24.97|15.435|15.4153377686796|5.38779847099838|Estero Bay Oyster Monitoring|4042|||||
14|Estero Bay Aquatic Preserve|Shell Height|Live Oyster Shells||Restored|1|FALSE|2020|2020|2020-03-04T00:00:00Z|292|3.29|24.97|19.2|18.7112328767123|4.44356276215195|SCCF Oyster Restoration Monitoring|4012|||||
19|Guana River Marsh Aquatic Preserve|Density|Live Oyster Shells||Natural|5|TRUE|2014|2020|2020-02-17T00:00:00Z|286|0|6848|1112|1354.74125874126|1062.66355001823|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017|7.53283831334333|-0.019203814848988|0.0403710619910551|-0.0962585575|0.0630993275
19|Guana River Marsh Aquatic Preserve|Percent Live|Live Oyster Shells||Natural|5|TRUE|2014|2020|2020-02-20T00:00:00Z|582|0|64|25|25.0996563573883|12.8661666508678|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017|-2.70192988755622|0.0816445856446777|0.0102511745226193|0.0613462|0.101486225
19|Guana River Marsh Aquatic Preserve|Shell Height|Dead Oyster Shells|>75mm|Natural|8|TRUE|1998|2012|2018-09-11T22:25:14Z|600|75.12|146.25|90.715|93.6535833333333|14.1389577127073|Historical Oyster Body Size (HOBS) Study|5035|66.332712856072|1.42706300465517|6.20526839107674|-11.6696475|13.6338225
19|Guana River Marsh Aquatic Preserve|Shell Height|Dead Oyster Shells|25-75mm|Natural|8|TRUE|1998|2012|2018-09-11T22:25:14Z|1138|25|74.95|48.35|49.0657908611599|14.5179227884593|Historical Oyster Body Size (HOBS) Study|5035|44.254202386994|-69.7541350664168|241.864277192386|-677.996624999999|19.9856375
19|Guana River Marsh Aquatic Preserve|Shell Height|Dead Oyster Shells||Natural|8|TRUE|1998|2012|2018-09-11T22:25:14Z|136|13.57|24.94|22.35|21.8611029411765|2.35769431398846|Historical Oyster Body Size (HOBS) Study|5035|||||
19|Guana River Marsh Aquatic Preserve|Shell Height|Live Oyster Shells|>75mm|Natural|5|TRUE|2014|2020|2020-02-17T00:00:00Z|1821|75|163|85.6|89.0912520593081|12.4057153866942|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017|-48.6412314352361|1.58412069182346|1.44444961953632|-1.218323|4.58494849999999
19|Guana River Marsh Aquatic Preserve|Shell Height|Live Oyster Shells|25-75mm|Natural|5|TRUE|2014|2020|2020-02-17T00:00:00Z|10159|25|74.9|43.8|45.5093365488729|13.8220323290424|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017|-17.3328309458396|1.26169298862819|1.57831865243598|-1.777837|4.4153575
19|Guana River Marsh Aquatic Preserve|Shell Height|Live Oyster Shells||Natural|5|TRUE|2014|2020|2020-02-17T00:00:00Z|9494|0.7|24.92|12|12.8232978723404|6.19299421064827|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017|||||
20|Guana Tolomato Matanzas National Estuarine Research Reserve|Density|Live Oyster Shells||Natural|5|TRUE|2014|2020|2020-02-17T00:00:00Z|727|0|11104|1136|1439.93397524072|1243.79725879224|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017|2.92790741931297|0.108475819722526|0.0650437592001478|-0.0150865675|0.234989575
20|Guana Tolomato Matanzas National Estuarine Research Reserve|Percent Live|Live Oyster Shells||Natural|5|TRUE|2014|2020|2020-02-20T00:00:00Z|1438|0|76|24|24.4874826147427|12.7311139665878|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017|||||
20|Guana Tolomato Matanzas National Estuarine Research Reserve|Shell Height|Dead Oyster Shells|>75mm|Natural|21|TRUE|1908|2013|2018-09-11T22:25:14Z|841|75.12|146.25|88.16|91.8008561236623|13.5066247318541|Historical Oyster Body Size (HOBS) Study|5035|||||
20|Guana Tolomato Matanzas National Estuarine Research Reserve|Shell Height|Dead Oyster Shells|25-75mm|Natural|21|TRUE|1908|2013|2018-09-11T22:25:14Z|4337|25|74.95|39.41|42.6937260779341|13.6449660776016|Historical Oyster Body Size (HOBS) Study|5035|||||
20|Guana Tolomato Matanzas National Estuarine Research Reserve|Shell Height|Dead Oyster Shells||Natural|21|TRUE|1908|2013|2018-09-11T22:25:14Z|1338|9.35|24.99|21.82|21.2468535127055|2.90698545537513|Historical Oyster Body Size (HOBS) Study|5035|||||
20|Guana Tolomato Matanzas National Estuarine Research Reserve|Shell Height|Live Oyster Shells|>75mm|Natural|5|TRUE|2014|2020|2020-02-17T00:00:00Z|3603|75|237.2|84.9|88.397063558146|12.2143083021267|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017|-120.722109339243|2.63272416386469|1.45261215114373|-0.0927081624999992|5.57434775
20|Guana Tolomato Matanzas National Estuarine Research Reserve|Shell Height|Live Oyster Shells|25-75mm|Natural|5|TRUE|2014|2020|2020-02-17T00:00:00Z|27155|25|74.9|42|44.3407074203646|13.6707269999556|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017|-96.1086303636807|2.30952896004498|1.02223784763543|0.395024975|4.344109
20|Guana Tolomato Matanzas National Estuarine Research Reserve|Shell Height|Live Oyster Shells||Natural|5|TRUE|2014|2020|2020-02-17T00:00:00Z|24845|0.7|24.92|13.3|13.7162692694707|6.04020112419919|Guana Tolomato Matanzas NERR Oyster monitoring, Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|4000, 5017|||||
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Density|Live Oyster Shells||Natural|4|FALSE|2017|2021|2021-06-26T00:00:00Z|75|0|766.666666666667|200|225.333333333333|201.241641312622|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016|||||
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Percent Live|Live Oyster Shells||Natural|4|FALSE|2017|2021|2021-06-26T00:00:00Z|75|0|56.79012346|14.81481481|16.5961302382667|14.6679605843622|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016|||||
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Shell Height|Dead Oyster Shells||Natural|0|FALSE|||2017-06-27T00:00:00Z|35|18|92|54|53.4|20.0065430473603|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016|||||
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Shell Height|Live Oyster Shells|25-75mm|Natural|1|FALSE|2017|2017|2017-06-27T00:00:00Z|65|25|74|39|41.3538461538462|11.9552299868493|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016|||||
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Shell Height|Live Oyster Shells||Natural|1|FALSE|2017|2017|2017-06-27T00:00:00Z|17|14|24.5|19|19.6176470588235|3.25734464213523|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016|||||
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Density|Live Oyster Shells||Natural|5|TRUE|2016|2021|2021-06-22T00:00:00Z|329|0|700|100|174.316109422492|176.209755944347|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016|||||
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Percent Live|Live Oyster Shells||Natural|5|TRUE|2016|2021|2021-06-22T00:00:00Z|329|0|51.85185185|7.40740741|12.9404527413374|13.1033299456591|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016|||||
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Shell Height|Dead Oyster Shells|>75mm|Natural|6|TRUE|1961|2010|2018-09-13T21:48:45Z|60|75.09|125.69|85.045|89.2413333333333|13.1420518567555|Historical Oyster Body Size (HOBS) Study|5035|88.2490435176162|-1.05968793464205|0.505758114183746|-2.24065875|-0.316246
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Shell Height|Dead Oyster Shells|25-75mm|Natural|6|TRUE|1961|2010|2018-09-13T21:48:45Z|1095|25|74.86|34.77|38.6897534246575|12.1810161901052|Historical Oyster Body Size (HOBS) Study|5035|||||
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Shell Height|Dead Oyster Shells||Natural|6|TRUE|||2022-06-22T00:00:00Z|1380|0|97|23.2|29.9009347826087|16.1363916424544|Historical Oyster Body Size (HOBS) Study, Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016, 5035|||||
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Shell Height|Live Oyster Shells|>75mm|Natural|5|TRUE|2016|2022|2022-06-14T00:00:00Z|54|75|113|83.25|85.5462962962963|9.16889147767711|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016|||||
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Shell Height|Live Oyster Shells|25-75mm|Natural|6|TRUE|2016|2022|2022-06-22T00:00:00Z|826|25|74|44|45.2478813559322|12.6978790303555|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016|||||
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Shell Height|Live Oyster Shells||Natural|6|TRUE|2016|2022|2022-06-22T00:00:00Z|283|0|24.5|19|17.1837455830389|5.14981932812671|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016|||||
23|Jensen Beach to Jupiter Inlet Aquatic Preserve|Density|Live Oyster Shells||Natural|5|TRUE|2016|2021|2021-06-30T00:00:00Z|69|0|716.666666666667|66.6666666666667|118.115942028986|152.370676184982|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016|||||
23|Jensen Beach to Jupiter Inlet Aquatic Preserve|Percent Live|Live Oyster Shells||Natural|5|TRUE|2016|2021|2021-06-30T00:00:00Z|69|0|52.43902439|4.9382716|8.73994649710145|11.2495255453082|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016|||||
23|Jensen Beach to Jupiter Inlet Aquatic Preserve|Shell Height|Dead Oyster Shells||Natural|0|FALSE|||2019-06-11T00:00:00Z|145|5|109|36|39.9344827586207|21.7780099951455|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016|||||
23|Jensen Beach to Jupiter Inlet Aquatic Preserve|Shell Height|Live Oyster Shells|25-75mm|Natural|4|FALSE|2016|2019|2019-06-11T00:00:00Z|101|25|72|37|38.6950495049505|10.006011955196|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016|||||
23|Jensen Beach to Jupiter Inlet Aquatic Preserve|Shell Height|Live Oyster Shells||Natural|4|FALSE|2016|2019|2019-06-11T00:00:00Z|63|7|24.9|17|16.7730158730159|5.01694568274513|Indian River Lagoon Oyster, Coastal Wetlands and Mangroves (MarineGEO site)|4016|||||
25|Lemon Bay Aquatic Preserve|Density|Live Oyster Shells||Natural|13|TRUE|2007|2022|2022-12-28T00:00:00Z|396|0|3968|880|963.353535353535|743.483627981193|Sarasota County Comprehensive Oyster Monitoring Program|972|8.35554483508246|-0.0319275203961769|0.0112270924937506|-0.0527087525|-0.00985072075
25|Lemon Bay Aquatic Preserve|Percent Live|Live Oyster Shells||Natural|14|TRUE|2007|2022|2022-12-28T00:00:00Z|395|0|96.96969697|72.09302326|63.6022254561013|25.7746639233931|Historical Oyster Body Size (HOBS) Study, Sarasota County Comprehensive Oyster Monitoring Program|972, 5035|-0.272117883373313|0.00870627082702399|0.0131424484749466|-0.01666248|0.0350276475
25|Lemon Bay Aquatic Preserve|Shell Height|Dead Oyster Shells|>75mm|Natural|8|TRUE|1961|2012|2018-10-29T18:16:46Z|38|75.03|108.23|79.43|82.0718421052632|7.39684478214544|Historical Oyster Body Size (HOBS) Study|5035|64.1968249379685|0.0550581874573913|0.266907540244059|-0.437555|0.605147375
25|Lemon Bay Aquatic Preserve|Shell Height|Dead Oyster Shells|25-75mm|Natural|8|TRUE|1961|2012|2018-10-29T18:16:46Z|2029|25|74.19|37.91|40.2585510103499|11.5518859885087|Historical Oyster Body Size (HOBS) Study|5035|||||
25|Lemon Bay Aquatic Preserve|Shell Height|Dead Oyster Shells||Natural|8|TRUE|1961|2012|2018-10-29T18:16:46Z|870|11.15|24.96|21.31|20.9765977011494|2.75257622381086|Historical Oyster Body Size (HOBS) Study|5035|||||
25|Lemon Bay Aquatic Preserve|Shell Height|Live Oyster Shells|25-75mm|Natural|1|FALSE|2018|2018|2018-10-29T18:16:46Z|152|25|60|32|34.4473684210526|8.37118162332247|Historical Oyster Body Size (HOBS) Study|5035|||||
25|Lemon Bay Aquatic Preserve|Shell Height|Live Oyster Shells||Natural|1|FALSE|2018|2018|2018-10-29T18:16:46Z|146|4|24|17|15.9315068493151|5.33001589471212|Historical Oyster Body Size (HOBS) Study|5035|||||
27|Loxahatchee River-Lake Worth Creek Aquatic Preserve|Density|Live Oyster Shells||Natural|2|FALSE|2003|2008|2008-09-12T00:00:00Z|167|0|3604|30|126.622754491018|405.032686718541|Loxahatchee River Oyster Mapping and Recruitment|4014|||||
27|Loxahatchee River-Lake Worth Creek Aquatic Preserve|Percent Live|Live Oyster Shells||Natural|2|FALSE|2003|2008|2008-09-12T00:00:00Z|166|0|100|82|79.842836746988|15.0633447849117|Loxahatchee River Oyster Mapping and Recruitment|4014|||||
27|Loxahatchee River-Lake Worth Creek Aquatic Preserve|Shell Height|Dead Oyster Shells||Natural|0|FALSE|||2013-09-05T00:00:00Z|1991|4|130|46|47.4660974384731|20.9835717216957|Loxahatchee River Oyster Mapping and Recruitment|4014|||||
27|Loxahatchee River-Lake Worth Creek Aquatic Preserve|Shell Height|Live Oyster Shells|>75mm|Natural|2|FALSE|2008|2013|2013-08-15T00:00:00Z|273|75|150|80|83.8827838827839|9.17562489542287|Loxahatchee River Oyster Mapping and Recruitment|4014|||||
27|Loxahatchee River-Lake Worth Creek Aquatic Preserve|Shell Height|Live Oyster Shells|25-75mm|Natural|2|FALSE|2008|2013|2013-09-05T00:00:00Z|3374|25|74|45|46.1819798458803|12.7432194741304|Loxahatchee River Oyster Mapping and Recruitment|4014|||||
27|Loxahatchee River-Lake Worth Creek Aquatic Preserve|Shell Height|Live Oyster Shells||Natural|2|FALSE|2008|2013|2013-09-05T00:00:00Z|986|3|24|15|14.9107505070994|5.55929240326498|Loxahatchee River Oyster Mapping and Recruitment|4014|||||
29|Mosquito Lagoon Aquatic Preserve|Density|Live Oyster Shells||Natural|2|FALSE|2015|2016|2016-06-05T00:00:00Z|170|48|2928|808|986.541176470588|630.970878704997|Northern Coastal Basins and Mosquito Lagoon Oyster Condition Assessment|5017|||||
