ManagedAreaName|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation|tau|SennSlope|SennIntercept|p|Trend
Rocky Bayou State Park Aquatic Preserve|1994-06-08|2021-12-10|305|3.95|12.87|7.56|7.74783606557377|1.44893060815473|0.1159|0.03|-36.2495|0.0024|1
Rookery Bay Aquatic Preserve|1989-04-11|2021-11-16|2845|0.2|13.4|5.87|5.84463729349736|1.35450362775949|0.0026|0|1.79124999999993|0.8516|0
Rookery Bay National Estuarine Research Reserve|1989-04-11|2021-11-17|9502|0.1|15.92|5.88|5.74993402546832|1.58500790569472|-0.109|-0.0352941176470588|68.1821428571429|0|-1
Southeast Florida Coral Reef Ecosystem Conservation Area|1970-02-06|2018-06-01|352|0|12|6.42|6.21999659090909|1.25113422694549|0.0159|0.0095366666666667|51.3434375|0.0883|0
St. Andrews State Park Aquatic Preserve|1983-06-05|2022-01-04|993|2.5|17.2|7.09|7.08398791540786|1.41152928672174|0.0299|0|-65.3860416666666|0.8414|0
St. Joseph Bay Aquatic Preserve|1991-07-25|2022-02-21|3584|1.3|15.6|7.2|7.18744419642857|1.71236836321577|-0.176|-0.0470000000000001|96.2363299232737|0|-1
St. Martins Marsh Aquatic Preserve|1991-07-09|2022-01-12|5408|0.61|15.4|7.4|7.36609282544379|1.94109249788209|-0.0444|-0.0181818181818182|49.7721428571429|0|-1
Terra Ceia Aquatic Preserve|1989-04-19|2021-11-17|16586|0.3|19.7|6.7|6.69000524538768|1.8401390479854|0.0122|0|-0.457142857142832|0.0723|0
Tomoka Marsh Aquatic Preserve|1997-08-26|2021-12-13|289|1.22|9.24|5.35|5.38425605536332|1.77568635502732|0.0275|0.00421052631578948|-22.5469456845238|0.6636|0
Yellow River Marsh Aquatic Preserve|1977-01-11|2021-11-08|497|3.6|13|7.5|7.49639476861167|1.72997955990069|-0.0309|-0.019047619047619|-24.9036184210527|0.0183|-1
