"","AreaID","ManagedAreaName","ParameterName","Units","ActivityType","RelativeDepth","N_Data","N_Years","EarliestYear","LatestYear","SufficientData","Season","Median","Independent","tau","z","p_z","chi_sq","p_chi_sq","SennSlope","SennIntercept","Trend"
"15",2,"Apalachicola Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",2843,17,2002,2019,TRUE,"1",4.6,TRUE,0.0703,1.4574,0.145,NA,NA,0.15,2.8,0
"16",2,"Apalachicola Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",2843,17,2002,2019,TRUE,"2",8.95,TRUE,-0.0964,3.0445,0.0023,NA,NA,-0.316666666666666,15.0833333333333,0
"17",2,"Apalachicola Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",2843,17,2002,2019,TRUE,"3",11.77,TRUE,-0.1157,-0.7246,0.4687,NA,NA,-0.32,17.92,0
"18",2,"Apalachicola Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",2843,17,2002,2019,TRUE,"4",9.05,TRUE,-0.1072,-1.8757,0.0607,NA,NA,-0.26,13.6,0
"19",2,"Apalachicola Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",2843,17,2002,2019,TRUE,"5",12,TRUE,0.152,-0.4945,0.621,NA,NA,0.28,5.97,0
"20",2,"Apalachicola Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",2843,17,2002,2019,TRUE,"6",14,TRUE,-0.032,0.1292,0.8972,NA,NA,-0.1,12.87,0
"21",2,"Apalachicola Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",2843,17,2002,2019,TRUE,"7",11.6,TRUE,-0.0209,-2.3088,0.021,NA,NA,-0.05,12.55,0
"22",2,"Apalachicola Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",2843,17,2002,2019,TRUE,"8",11,TRUE,-0.0326,-2.5843,0.0098,NA,NA,-0.066,9.81,0
"23",2,"Apalachicola Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",2843,17,2002,2019,TRUE,"9",14.4,TRUE,0.0057,-2.8053,0.005,NA,NA,0,14,0
"24",2,"Apalachicola Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",2843,17,2002,2019,TRUE,"10",13,TRUE,-0.0005,-0.0123,0.9902,NA,NA,0,13,0
"25",2,"Apalachicola Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",2843,17,2002,2019,TRUE,"11",9.15,TRUE,0.1361,-0.7497,0.4534,NA,NA,0.334285714285714,4.93857142857143,0
"26",2,"Apalachicola Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",2843,17,2002,2019,TRUE,"12",9.05,TRUE,-0.08,3.0479,0.0023,NA,NA,-0.25,11.8,0
"27",3,"Apalachicola National Estuarine Research Reserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3429,19,2000,2019,TRUE,"All",9.8,TRUE,0.0125,0.5868,0.5574,40.0017,0,0,9.66090909090909,0
"28",3,"Apalachicola National Estuarine Research Reserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3429,19,2000,2019,TRUE,"1",3.8,TRUE,0.1615,2.7776,0.0055,NA,NA,0.3,4.5,0
"29",3,"Apalachicola National Estuarine Research Reserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3429,19,2000,2019,TRUE,"2",7.76,TRUE,0.1283,3.1563,0.0016,NA,NA,0.285714285714286,3.76,0
"30",3,"Apalachicola National Estuarine Research Reserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3429,19,2000,2019,TRUE,"3",8.7,TRUE,0.0087,0.2346,0.8145,NA,NA,0.00909090909090906,10.8818181818182,0
"31",3,"Apalachicola National Estuarine Research Reserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3429,19,2000,2019,TRUE,"4",7.85,TRUE,-0.0165,-0.4206,0.674,NA,NA,-0.0422500000000003,8.39925,0
"32",3,"Apalachicola National Estuarine Research Reserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3429,19,2000,2019,TRUE,"5",11,TRUE,0.0108,0.2261,0.8211,NA,NA,0.0166666666666667,11.8333333333333,0
"33",3,"Apalachicola National Estuarine Research Reserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3429,19,2000,2019,TRUE,"6",12.4,TRUE,-0.0001,0.4232,0.6721,NA,NA,0,8,0
"34",3,"Apalachicola National Estuarine Research Reserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3429,19,2000,2019,TRUE,"7",11,TRUE,0.1186,-1.0595,0.2894,NA,NA,0.172363636363636,1.38690909090909,0
"35",3,"Apalachicola National Estuarine Research Reserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3429,19,2000,2019,TRUE,"8",10.1,TRUE,-0.0768,-2.391,0.0168,NA,NA,-0.208,15.704,0
"36",3,"Apalachicola National Estuarine Research Reserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3429,19,2000,2019,TRUE,"9",13,TRUE,-0.0917,-2.0357,0.0418,NA,NA,-0.211111111111111,12.6333333333333,0
"37",3,"Apalachicola National Estuarine Research Reserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3429,19,2000,2019,TRUE,"10",12.05,TRUE,-0.0398,0.2913,0.7708,NA,NA,-0.1125,12.4625,0
"38",3,"Apalachicola National Estuarine Research Reserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3429,19,2000,2019,TRUE,"11",8,TRUE,0.0168,-0.0006,0.9995,NA,NA,0.0285714285714285,12.0285714285714,0
"39",3,"Apalachicola National Estuarine Research Reserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3429,19,2000,2019,TRUE,"12",8.1,TRUE,0.0094,3.5581,0.0004,NA,NA,0.02,8.44,0
"40",4,"Banana River Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",40,7,1999,2017,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",5,"Big Bend Seagrasses Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3651,30,1990,2019,TRUE,"All",1,TRUE,-0.068,-6.224,0,40.8315,0,0,1,-1
"42",5,"Big Bend Seagrasses Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3651,30,1990,2019,TRUE,"1",1,TRUE,-0.0574,-2.3059,0.0211,NA,NA,0,1,-1
"43",5,"Big Bend Seagrasses Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3651,30,1990,2019,TRUE,"2",1,TRUE,-0.1286,-1.581,0.1139,NA,NA,-0.0357142857142857,1.95714285714286,-1
"44",5,"Big Bend Seagrasses Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3651,30,1990,2019,TRUE,"3",1,TRUE,-0.0651,0.0261,0.9792,NA,NA,0,1,-1
"45",5,"Big Bend Seagrasses Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3651,30,1990,2019,TRUE,"4",1,TRUE,-0.059,-2.238,0.0252,NA,NA,0,1,-1
"46",5,"Big Bend Seagrasses Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3651,30,1990,2019,TRUE,"5",1,TRUE,-0.1813,2.6942,0.0071,NA,NA,-0.0657142857142857,2.77714285714286,-1
"47",5,"Big Bend Seagrasses Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3651,30,1990,2019,TRUE,"6",1.7,TRUE,0.1033,-1.2358,0.2166,NA,NA,0.0111111111111111,0.688888888888889,1
"48",5,"Big Bend Seagrasses Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3651,30,1990,2019,TRUE,"7",1.1,TRUE,-0.0934,-3.7898,0.0002,NA,NA,0,1,-1
"49",5,"Big Bend Seagrasses Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3651,30,1990,2019,TRUE,"8",1.1,TRUE,-0.0817,-3.485,0.0005,NA,NA,0,1,-1
"50",5,"Big Bend Seagrasses Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3651,30,1990,2019,TRUE,"9",1,TRUE,-0.0557,-1.4209,0.1553,NA,NA,0,1,-1
"51",5,"Big Bend Seagrasses Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3651,30,1990,2019,TRUE,"10",1.2,TRUE,-0.148,-4.8579,0,NA,NA,-0.05,2.3,-1
"52",5,"Big Bend Seagrasses Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3651,30,1990,2019,TRUE,"11",1,TRUE,-0.0437,-1.3724,0.1699,NA,NA,0,1.7,-1
"53",5,"Big Bend Seagrasses Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",3651,30,1990,2019,TRUE,"12",1,TRUE,0.001,-1.78,0.0751,NA,NA,0,1,-1
"54",7,"Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",0,0,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",6,"Biscayne Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",452,16,2000,2020,TRUE,"All",1.315,TRUE,0.0485,1.55,0.1212,44.6495,0,0.01,1.305,0
"56",6,"Biscayne Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",452,16,2000,2020,TRUE,"1",1.24,TRUE,-0.0567,3.5498,0.0004,NA,NA,-0.0356666666666667,1.92733333333333,0
"57",6,"Biscayne Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",452,16,2000,2020,TRUE,"2",1.2,TRUE,-0.0732,-2.1079,0.035,NA,NA,-0.026,2.486,0
"58",6,"Biscayne Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",452,16,2000,2020,TRUE,"3",1.26,TRUE,-0.0276,-0.3857,0.6997,NA,NA,-0.275263157894737,8.41184210526316,0
"59",6,"Biscayne Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",452,16,2000,2020,TRUE,"4",1.71,TRUE,0.1333,0.163,0.8705,NA,NA,0.00600000000000001,0.896,0
"60",6,"Biscayne Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",452,16,2000,2020,TRUE,"5",1.09,TRUE,-0.0367,-0.3857,0.6997,NA,NA,-0.01,1.35,0
"61",6,"Biscayne Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",452,16,2000,2020,TRUE,"6",1,TRUE,0.2841,-0.5443,0.5862,NA,NA,0.354029017857143,-5.41475446428572,0
"62",6,"Biscayne Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",452,16,2000,2020,TRUE,"7",3.79,TRUE,-0.0388,2.7609,0.0058,NA,NA,-0.013030303030303,1.61181818181818,0
"63",6,"Biscayne Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",452,16,2000,2020,TRUE,"8",1.81,TRUE,-0.1966,-0.7269,0.4673,NA,NA,-0.3,9.3,0
"64",6,"Biscayne Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",452,16,2000,2020,TRUE,"9",1.255,TRUE,-0.2101,-0.267,0.7895,NA,NA,-0.015,1.26,0
"65",6,"Biscayne Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",452,16,2000,2020,TRUE,"10",1.01,TRUE,0.0185,1.3776,0.1683,NA,NA,0.0216666666666667,1.125,0
"66",6,"Biscayne Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",452,16,2000,2020,TRUE,"11",1.49,TRUE,0.4082,3.7671,0.0002,NA,NA,0.0682352941176471,-0.284117647058824,0
"67",6,"Biscayne Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",452,16,2000,2020,TRUE,"12",0.87,TRUE,0.3806,-2.0534,0.04,NA,NA,0.0644736842105263,-0.500789473684211,0
"68",8,"Boca Ciega Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",35,7,2000,2016,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",9,"Cape Haze Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",29,9,2001,2022,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",10,"Cape Romano-Ten Thousand Islands Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",393,16,1994,2017,TRUE,"All",2.9329,TRUE,0.075,1.9814,0.0475,16.2945,0.1305,0.04125,2.714405,1
"71",10,"Cape Romano-Ten Thousand Islands Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",393,16,1994,2017,TRUE,"1",2.27275,TRUE,-0.0255,0.8948,0.3709,NA,NA,-0.0179,2.5423,-1
"72",10,"Cape Romano-Ten Thousand Islands Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",393,16,1994,2017,TRUE,"2",2.3285,TRUE,0.1462,0.3885,0.6976,NA,NA,0.0913,2.2946,1
"73",10,"Cape Romano-Ten Thousand Islands Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",393,16,1994,2017,TRUE,"3",2.68985,TRUE,-0.0484,-1.0022,0.3163,NA,NA,-0.03329,4.94658,-1
"74",10,"Cape Romano-Ten Thousand Islands Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",393,16,1994,2017,TRUE,"4",2.417,TRUE,0.3989,-0.211,0.8329,NA,NA,0.30945,1.76795,2
"75",10,"Cape Romano-Ten Thousand Islands Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",393,16,1994,2017,TRUE,"5",3.025,TRUE,0.1026,1.2251,0.2205,NA,NA,0.0792291666666667,3.65754583333333,1
"76",10,"Cape Romano-Ten Thousand Islands Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",393,16,1994,2017,TRUE,"6",4.71355,TRUE,-0.1084,-0.4212,0.6736,NA,NA,-0.05043,2.88651,-1
"77",10,"Cape Romano-Ten Thousand Islands Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",393,16,1994,2017,TRUE,"7",4.9866,TRUE,0.2559,1.7051,0.0882,NA,NA,0.176,1.6463,1
"78",10,"Cape Romano-Ten Thousand Islands Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",393,16,1994,2017,TRUE,"8",4.21215,TRUE,-0.0141,0.9282,0.3533,NA,NA,-0.00720000000000004,2.9263,-1
"79",10,"Cape Romano-Ten Thousand Islands Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",393,16,1994,2017,TRUE,"9",3.0543,TRUE,0.0492,2.012,0.0442,NA,NA,0.02002625,2.16829,1
"80",10,"Cape Romano-Ten Thousand Islands Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",393,16,1994,2017,TRUE,"10",3.9341,TRUE,0.2172,2.9076,0.0036,NA,NA,0.24225,3.0486,1
"81",10,"Cape Romano-Ten Thousand Islands Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",393,16,1994,2017,TRUE,"11",2.8795,TRUE,0.1172,-0.0976,0.9222,NA,NA,0.0487875,1.8336625,1
"82",10,"Cape Romano-Ten Thousand Islands Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",393,16,1994,2017,TRUE,"12",2.5335,TRUE,-0.131,-0.809,0.4185,NA,NA,-0.03206,2.97839,-1
"83",11,"Cockroach Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",675,19,1999,2017,TRUE,"All",8.7,TRUE,-0.0204,-0.7313,0.4646,14.849,0.1895,-0.0333333333333332,11.0416666666667,0
"84",11,"Cockroach Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",675,19,1999,2017,TRUE,"1",5.924,TRUE,-0.0593,1.1862,0.2355,NA,NA,-0.0941176470588235,8.67352941176471,0
"85",11,"Cockroach Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",675,19,1999,2017,TRUE,"2",6.7,TRUE,0.1091,1.1181,0.2635,NA,NA,0.132809523809524,4.19747619047619,0
"86",11,"Cockroach Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",675,19,1999,2017,TRUE,"3",7.5,TRUE,0.0644,-1.0203,0.3076,NA,NA,0.15,12.05,0
"87",11,"Cockroach Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",675,19,1999,2017,TRUE,"4",7.45,TRUE,-0.1018,-0.6659,0.5055,NA,NA,-0.2,10.25,0
"88",11,"Cockroach Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",675,19,1999,2017,TRUE,"5",9.75,TRUE,0.1945,-1.0291,0.3034,NA,NA,0.2175,2.19,0
"89",11,"Cockroach Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",675,19,1999,2017,TRUE,"6",14,TRUE,-0.0883,0.7234,0.4694,NA,NA,-0.166666666666667,11.8333333333333,0
"90",11,"Cockroach Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",675,19,1999,2017,TRUE,"7",12.4,TRUE,-0.0949,-0.9552,0.3395,NA,NA,-0.13125,9.075,0
"91",11,"Cockroach Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",675,19,1999,2017,TRUE,"8",9.4,TRUE,0.0984,-1.2156,0.2241,NA,NA,0.133333333333333,4.96666666666667,0
"92",11,"Cockroach Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",675,19,1999,2017,TRUE,"9",10,TRUE,-0.0907,-0.6933,0.4881,NA,NA,-0.28,15.76,0
"93",11,"Cockroach Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",675,19,1999,2017,TRUE,"10",10.3,TRUE,-0.1053,-1.1543,0.2484,NA,NA,-0.248076923076923,13.2769230769231,0
"94",11,"Cockroach Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",675,19,1999,2017,TRUE,"11",7.85,TRUE,-0.1176,-1.062,0.2882,NA,NA,-0.4,14.2,0
"95",11,"Cockroach Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",675,19,1999,2017,TRUE,"12",4.8,TRUE,-0.066,2.0576,0.0396,NA,NA,-0.191666666666666,12.3,0
"96",13,"Coupon Bight Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",61,17,1995,2011,TRUE,"All",0.20439494,TRUE,-0.0294,-0.9274,0.3537,6.8538,0.8108,-0.00366114923076923,0.189868010178571,0
"97",13,"Coupon Bight Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",61,17,1995,2011,TRUE,"1",0.206357495,TRUE,0.3333,-0.3757,0.7071,NA,NA,0.121762455,-0.60708006,0
"98",13,"Coupon Bight Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",61,17,1995,2011,TRUE,"2",NA,TRUE,-0.2381,NA,NA,NA,NA,-0.00895,0.37188424,NA
"99",13,"Coupon Bight Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",61,17,1995,2011,TRUE,"3",0.16176197,TRUE,0.1429,-1.5019,0.1331,NA,NA,0.00714781477272727,0.109468574431818,0
"100",13,"Coupon Bight Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",61,17,1995,2011,TRUE,"4",NA,TRUE,0,NA,NA,NA,NA,-0.000886741420454545,0.159020448522727,NA
"101",13,"Coupon Bight Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",61,17,1995,2011,TRUE,"5",0.170225,TRUE,1,0.3712,0.7105,NA,NA,0.00797142857142857,0.174057142857143,0
"102",13,"Coupon Bight Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",61,17,1995,2011,TRUE,"6",0.1537,TRUE,-0.1429,0,1,NA,NA,-0.0059460225,0.3025142025,0
"103",13,"Coupon Bight Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",61,17,1995,2011,TRUE,"7",0.29179404,TRUE,-0.5238,-0.2449,0.8065,NA,NA,-0.01092589625,0.24916914,0
"104",13,"Coupon Bight Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",61,17,1995,2011,TRUE,"8",0.249,TRUE,-0.2,-0.3004,0.7639,NA,NA,-0.010760399,0.292440687,0
"105",13,"Coupon Bight Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",61,17,1995,2011,TRUE,"9",0.12349467,TRUE,-0.2,0,1,NA,NA,-0.00555490420833333,0.369562698916667,0
"106",13,"Coupon Bight Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",61,17,1995,2011,TRUE,"10",0.203881365,TRUE,0.3333,0,1,NA,NA,0.04922882,0.13960538,0
"107",13,"Coupon Bight Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",61,17,1995,2011,TRUE,"11",0.48420712,TRUE,-0.0667,0,1,NA,NA,-0.000171191666666667,0.2056788775,0
"108",13,"Coupon Bight Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",61,17,1995,2011,TRUE,"12",0.31818424,TRUE,1,-0.6008,0.548,NA,NA,0.149425,-1.63185,0
"109",14,"Estero Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",144,16,2000,2018,TRUE,"All",3.12,TRUE,0.3399,6.2267,0,42.6984,0,0.307692307692308,0.491111111111111,1
"110",14,"Estero Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",144,16,2000,2018,TRUE,"1",3.47,TRUE,0.4505,1.2204,0.2223,NA,NA,0.426666666666667,-1.82333333333333,2
"111",14,"Estero Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",144,16,2000,2018,TRUE,"2",2.86,TRUE,0.3111,4.942,0,NA,NA,0.181833333333333,1.8335,1
"112",14,"Estero Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",144,16,2000,2018,TRUE,"3",3.075,TRUE,-0.4182,1.019,0.3082,NA,NA,-0.333333333333333,7,-2
"113",14,"Estero Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",144,16,2000,2018,TRUE,"4",3.05,TRUE,0.4559,-1.9221,0.0546,NA,NA,0.775,-8.625,2
"114",14,"Estero Bay Aquatic Preserve","Chlorophyll a uncorrected for pheophytin","ug/L","Sample","Surface",144,16,2000,2018,TRUE,"5",4.15,TRUE,0.6695,2.2519,0.0243,NA,NA,0.320555555555556,0.295555555555556,1
